epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.4091,1.41319,3.16063,1.35564,0.00796,0.86322,0.3868,0.25207,1.10375,3.3331,1.20093,0.00015003,0.00015003,0.00015003
2,188.33,1.33106,2.36885,1.32218,1,0.01251,0.40777,0.27335,1.24657,3.14452,1.37286,0.000310459,0.000310459,0.000310459
3,334.392,1.28657,1.97021,1.31983,1,0.14887,0.42898,0.26679,1.30502,3.07359,1.48843,0.000464286,0.000464286,0.000464286
4,527.708,1.29024,1.96116,1.35646,0.51447,0.33321,0.36907,0.20596,1.3888,3.01312,1.51792,0.000611512,0.000611512,0.000611512
5,724.176,1.28942,1.95041,1.32333,0.52932,0.26654,0.29926,0.14679,1.7076,3.19277,1.88953,0.000752137,0.000752137,0.000752137
6,903.976,1.28266,1.77851,1.26505,0.38788,0.29416,0.25356,0.12151,1.91948,3.0699,2.34497,0.000886161,0.000886161,0.000886161
7,1079.92,1.36056,1.83728,1.36623,0.40305,0.25836,0.19917,0.10339,1.75934,3.22938,2.00742,0.00101358,0.00101358,0.00101358
8,1256.6,1.26528,1.73772,1.31498,0.40451,0.19263,0.14878,0.0854,1.6667,3.31981,1.80713,0.0011344,0.0011344,0.0011344
9,1431.41,1.31379,1.81826,1.35224,0.37921,0.23898,0.2343,0.09624,1.81713,3.5973,1.89593,0.00124862,0.00124862,0.00124862
10,1603.47,1.44547,1.79237,1.39319,0.22432,0.22986,0.18537,0.11188,1.89753,3.53838,2.03816,0.00135624,0.00135624,0.00135624
11,1778.35,1.30352,1.70233,1.33841,0.34121,0.32196,0.16892,0.09046,1.68436,4.30502,1.89277,0.00133693,0.00133693,0.00133693
12,1955.85,1.31979,1.63592,1.29211,0.25637,0.37766,0.18966,0.08694,2.17148,4.51882,2.36524,0.00130393,0.00130393,0.00130393
13,2135.25,1.38573,1.55827,1.28423,0.24233,0.17971,0.12465,0.06139,2.47267,4.8593,2.4899,0.00127092,0.00127092,0.00127092
14,2310.07,1.34561,1.61708,1.31917,0.24629,0.25304,0.17713,0.09721,1.90141,3.49663,1.89499,0.00123791,0.00123791,0.00123791
15,2484.92,1.368,1.63784,1.31222,0.24137,0.25684,0.21506,0.12011,1.8913,3.03711,1.92872,0.00120491,0.00120491,0.00120491
16,2657.85,1.2832,1.56797,1.27669,0.4659,0.14725,0.21121,0.11457,1.83388,3.74364,2.03229,0.0011719,0.0011719,0.0011719
17,2831.08,1.29061,1.54437,1.33818,0.20938,0.34574,0.19107,0.11118,1.86317,3.50838,2.00901,0.00113889,0.00113889,0.00113889
18,3003.29,1.23505,1.68673,1.32857,0.49864,0.27248,0.2624,0.15145,1.68708,3.12405,1.86302,0.00110589,0.00110589,0.00110589
