epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6678,1.71237,3.41732,1.7794,0.00427,0.75661,0.10633,0.04026,1.83381,4.39706,1.80372,0.00017148,0.00017148,0.00017148
2,79.3942,1.4546,3.18093,1.62155,0.00438,0.74603,0.11631,0.0492,2.22937,4.33126,2.01859,0.000350176,0.000350176,0.000350176
3,109.83,1.63613,3.11809,1.73287,0.00484,0.80423,0.22323,0.10148,2.07722,4.21342,1.88121,0.000521516,0.000521516,0.000521516
4,160.569,1.35795,2.84416,1.5356,0.0041,0.7209,0.17018,0.10166,1.81987,4.11251,1.81766,0.0006855,0.0006855,0.0006855
5,208.196,1.31506,2.76948,1.56089,0.45738,0.03704,0.1163,0.06562,1.75578,3.90909,1.75452,0.000842127,0.000842127,0.000842127
6,236.896,1.35139,2.52318,1.52424,0.87228,0.15685,0.19731,0.12905,1.91197,3.87041,1.81196,0.000991397,0.000991397,0.000991397
7,265.851,1.47136,2.55495,1.55017,0.29227,0.27778,0.23871,0.14278,1.83578,3.8241,1.75129,0.00113331,0.00113331,0.00113331
8,294.798,1.59065,2.73231,1.76534,0.43119,0.24002,0.22783,0.10417,2.0815,4.33058,2.02349,0.00123094,0.00123094,0.00123094
9,322.851,1.43277,2.54477,1.64619,0.43119,0.24002,0.22783,0.10417,2.0815,4.33058,2.02349,0.00120265,0.00120265,0.00120265
10,357.188,1.44156,2.66029,1.68936,0.54668,0.2234,0.23051,0.11342,2.32894,4.37418,2.29484,0.00117435,0.00117435,0.00117435
11,384.037,1.44744,2.49464,1.69772,0.97667,0.16667,0.222,0.14025,2.41581,4.54142,2.51686,0.00114606,0.00114606,0.00114606
12,413.914,1.41068,2.52199,1.70456,0.97354,0.16667,0.2524,0.10114,2.41894,4.82301,2.43527,0.00111776,0.00111776,0.00111776
13,444.814,1.53136,2.57574,1.70304,0.38353,0.24074,0.20852,0.08567,2.63224,5.01193,2.69345,0.00108947,0.00108947,0.00108947
14,471.484,1.32522,2.35684,1.54673,0.2963,0.19441,0.13671,0.06167,2.42494,5.21335,2.41703,0.00106118,0.00106118,0.00106118
15,503.513,1.29126,2.14072,1.44933,0.2963,0.19441,0.13671,0.06167,2.42494,5.21335,2.41703,0.00103288,0.00103288,0.00103288
16,533.888,1.37596,2.17993,1.56659,0.21214,0.27778,0.1316,0.04584,2.30254,5.50274,2.37784,0.00100459,0.00100459,0.00100459
17,564.383,1.44954,2.39761,1.57677,0.1247,0.24335,0.09193,0.04237,2.15759,6.79446,2.35793,0.000976293,0.000976293,0.000976293
18,599.055,1.47638,2.4104,1.64279,0.7372,0.16667,0.12268,0.04601,2.27281,7.67633,2.31161,0.000947999,0.000947999,0.000947999
19,625.799,1.4625,2.21019,1.64497,0.81501,0.08333,0.10807,0.03414,2.242,6.70238,2.38298,0.000919704,0.000919704,0.000919704
20,657.467,1.33924,2.17593,1.53318,0.81501,0.08333,0.10807,0.03414,2.242,6.70238,2.38298,0.00089141,0.00089141,0.00089141
21,690.335,1.34934,2.19671,1.56222,0.42279,0.16667,0.06949,0.02761,2.26897,5.05597,2.39465,0.000863116,0.000863116,0.000863116
22,720.325,1.42588,2.24111,1.55603,0.07948,0.48148,0.09754,0.04559,2.00609,4.08563,2.21315,0.000834822,0.000834822,0.000834822
23,758.602,1.31669,2.0643,1.49214,0.13716,0.28704,0.143,0.07888,1.99242,3.8497,2.16162,0.000806528,0.000806528,0.000806528
24,794.135,1.34618,2.12283,1.5184,0.24499,0.32407,0.18733,0.10451,1.81707,3.86794,2.00444,0.000778233,0.000778233,0.000778233
25,836.378,1.34866,2.09893,1.59343,0.24499,0.32407,0.18733,0.10451,1.81707,3.86794,2.00444,0.000749939,0.000749939,0.000749939
26,874.211,1.27298,1.96253,1.54141,0.74786,0.24074,0.25752,0.16521,1.88469,3.8444,2.03822,0.000721645,0.000721645,0.000721645
27,902.652,1.30108,1.97249,1.4999,0.39843,0.27802,0.29519,0.19827,1.85985,3.70797,2.05332,0.000693351,0.000693351,0.000693351
28,942.431,1.25585,1.83583,1.43419,0.31226,0.27519,0.26912,0.17362,1.76421,3.6152,1.99019,0.000665057,0.000665057,0.000665057
29,975.949,1.24632,2.14315,1.49054,0.3555,0.28575,0.22624,0.15022,1.73053,3.60116,1.92888,0.000636762,0.000636762,0.000636762
30,1013.14,1.32014,2.11732,1.56512,0.32295,0.16667,0.21335,0.12594,1.78172,3.60743,2.00519,0.000608468,0.000608468,0.000608468
31,1048.64,1.17939,1.93992,1.4442,0.32295,0.16667,0.21335,0.12594,1.78172,3.60743,2.00519,0.000580174,0.000580174,0.000580174
32,1082.23,1.20487,1.97868,1.46438,0.29975,0.18515,0.23139,0.13175,1.78288,3.65709,1.98143,0.00055188,0.00055188,0.00055188
33,1119.35,1.15201,1.75689,1.39783,0.64326,0.16801,0.2266,0.13368,1.78199,3.73778,1.93884,0.000523586,0.000523586,0.000523586
34,1152.55,1.08572,2.45199,1.30779,0.32529,0.25132,0.24569,0.1389,1.7848,3.76264,1.94032,0.000495291,0.000495291,0.000495291
35,1190.12,1.16803,2.02121,1.43699,0.35922,0.25132,0.24904,0.14282,1.699,3.73788,1.88454,0.000466997,0.000466997,0.000466997
36,1232.46,1.15504,1.75014,1.38354,0.35922,0.25132,0.24904,0.14282,1.699,3.73788,1.88454,0.000438703,0.000438703,0.000438703
37,1274.87,1.21613,1.82649,1.4592,0.36757,0.21429,0.22785,0.12848,1.71499,3.81508,1.8675,0.000410409,0.000410409,0.000410409
38,1311.28,1.24027,1.84528,1.46079,0.48173,0.20512,0.25442,0.15404,1.64861,3.66356,1.85301,0.000382115,0.000382115,0.000382115
39,1350.63,1.31194,1.85538,1.52339,0.43416,0.22005,0.26283,0.16914,1.60719,3.67067,1.86591,0.00035382,0.00035382,0.00035382
40,1389.74,1.15541,1.69441,1.37297,0.38183,0.28836,0.30386,0.19008,1.67875,3.5811,1.9068,0.000325526,0.000325526,0.000325526
41,1431.69,1.00673,1.93668,1.29256,0.38183,0.28836,0.30386,0.19008,1.67875,3.5811,1.9068,0.000297232,0.000297232,0.000297232
42,1470.77,0.97199,2.01811,1.36157,0.42579,0.28836,0.3263,0.20055,1.65893,3.60368,1.91068,0.000268938,0.000268938,0.000268938
43,1504.07,1.01928,1.92056,1.32903,0.42551,0.35472,0.34261,0.20702,1.6574,3.64053,1.86464,0.000240644,0.000240644,0.000240644
44,1549.2,0.94404,2.00143,1.31575,0.49793,0.28836,0.32769,0.21926,1.7107,3.61264,1.88917,0.000212349,0.000212349,0.000212349
45,1593.43,0.9745,1.99713,1.34256,0.47544,0.28706,0.31425,0.2161,1.73231,3.5645,1.89578,0.000184055,0.000184055,0.000184055
46,1636.73,0.99367,1.99108,1.30734,0.37959,0.28836,0.3095,0.21007,1.73995,3.57975,1.89708,0.000155761,0.000155761,0.000155761
47,1679.55,0.90947,1.73142,1.28524,0.37959,0.28836,0.3095,0.21007,1.73995,3.57975,1.89708,0.000127467,0.000127467,0.000127467
48,1723.07,0.99547,1.90996,1.34416,0.37623,0.28836,0.2959,0.20863,1.76234,3.59806,1.88332,9.91726e-05,9.91726e-05,9.91726e-05
49,1765.2,0.92981,1.80632,1.31863,0.36662,0.28116,0.29281,0.20026,1.77339,3.64484,1.88167,7.08784e-05,7.08784e-05,7.08784e-05
50,1808.17,0.98496,1.796,1.30034,0.34967,0.28836,0.29999,0.20134,1.76507,3.6094,1.89488,4.25842e-05,4.25842e-05,4.25842e-05
